"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB2458BA3D5E9788EDA0650"	"publication"	"uid"	"lab-current"	""	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"GENERATED"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"startDate"	"The start date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"publication"	"resultStartDate"	"lab-current"	"activityStartDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"publication"	"resultEndDate"	"lab-current"	"activityEndDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyte"	"Analyte or parameter measured"	"string"	NA	"nominal"	""	"LOV"	"d15N"	"publication"	"DP"	"lab-current"	"analyte"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"bgc.analyte"	"Y"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteUnits"	"Associated units of measure for analyte"	"string"	NA	"nominal"	""	"LOV"	"permill"	"publication"	"DP"	"lab-current"	"analyteUnits"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"bgc.analyteUnits"	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"sampleType"	"Type of sample"	"string"	NA	"nominal"	""	"LOV"	"vegetation"	"publication"	"DP"	"lab-current"	"sampleType"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"bgc.sampleType"	"Y"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"qaReferenceID"	"Identifier for quality assurance reference material or standard"	"string"	NA	"textDomain"	""	"asIs"	"UWSIF05 (Alfalfa)"	"publication"	"DP"	"lab-current"	"qaReferenceID"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteKnownValue"	"The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte"	"real"	NA	"ratio"	""	"*.##(round)"	"4.5"	"publication"	"DP"	"lab-current"	"analyteKnownValue"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteObservedValue"	"The measured value of a given analyte for a standard reference material, with units tied to the analyte"	"real"	NA	"ratio"	""	"*.##(round)"	"4.42"	"publication"	"DP"	"lab-current"	"analyteObservedValue"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteAbsoluteError"	"Long-term average absolute error, e.g. the difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.28"	"publication"	"DP"	"lab-current"	"analyteAbsoluteError"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
